Time,,FFT complex,Frequency ,Magnitude
538,,1055082.000000,0,1030.353516
543,,6451.690102+71.224767i,4.8828125,6.300862539
547,,6575.063042+107.303779i,9.765625,6.421815012
551,,6885.750153+140.987906i,14.6484375,6.725774793
554,,7252.620272+206.341593i,19.53125,7.085502883
558,,7777.797155+233.707139i,24.4140625,7.598933181
561,,8821.366446+354.915341i,29.296875,8.621585274
565,,9955.718482+592.573574i,34.1796875,9.739588041
568,,12238.277117+725.494365i,39.0625,11.97242401
571,,16634.632451+700.424743i,43.9453125,16.25915245
574,,26910.428149+2055.036834i,48.828125,80.35993567
577,,81972.074192+7210.303986i,53.7109375,26.3562318
581,,-65141.634348-6250.064491i,58.59375,63.9070128
584,,-22093.344861-2463.995790i,63.4765625,21.70929765
587,,-12737.910516-1229.138179i,68.359375,12.49714418
590,,-8889.424647-916.792465i,73.2421875,8.727124365
593,,-6723.011099-837.451826i,78.125,6.616180581
595,,-5218.402745-724.973195i,83.0078125,5.145040022
598,,-4331.094156-585.556687i,87.890625,4.268064504
600,,-3631.428842-502.065188i,92.7734375,3.580050006
602,,-3118.894191-520.351906i,97.65625,3.087894189
605,,-2698.530728-436.686926i,102.5390625,2.66956601
608,,-2367.754664-386.686398i,107.421875,2.342893015
610,,-2094.659735-450.178726i,112.3046875,2.092274682
613,,-1718.685719-559.731273i,117.1875,1.765170067
615,,-1714.944254-384.518526i,122.0703125,1.716331387
617,,-1521.790093-358.432624i,126.953125,1.52678888
619,,-1390.140945-319.557073i,131.8359375,1.392965878
621,,-1273.067429-378.390909i,136.71875,1.296983961
623,,-1166.925394-347.154393i,141.6015625,1.188934683
624,,-922.131078-336.380683i,146.484375,0.95856347
625,,-1053.876813-333.832660i,151.3671875,1.07957674
626,,-949.482386-377.861020i,156.25,0.997956932
626,,-890.552636-515.572789i,161.1328125,1.004910476
626,,-837.512888-1251.729967i,166.015625,1.470774371
626,,-737.993094+425.869799i,170.8984375,0.832085631
626,,-708.753912+61.531532i,175.78125,0.694745971
625,,-666.847988+21.813209i,180.6640625,0.651567048
625,,-653.500859-37.106812i,185.546875,0.639212405
625,,-559.942190-137.862857i,190.4296875,0.563148484
624,,-541.031218-117.387704i,195.3125,0.540644132
623,,-487.043454-114.210502i,200.1953125,0.488530566
623,,-479.397315-99.296299i,205.078125,0.478098452
623,,-433.113740-151.279795i,209.9609375,0.448020958
622,,-399.857277-115.659169i,214.84375,0.40649276
622,,-412.376760-111.654525i,219.7265625,0.417212056
621,,-377.122622-151.717624i,224.609375,0.396969605
621,,-422.693343-141.948500i,229.4921875,0.435440709
620,,-84.970201-12.677075i,234.375,0.083897139
619,,-295.665015-122.510324i,239.2578125,0.312540556
617,,-318.928962-142.291233i,244.140625,0.341046159
615,,-283.308953-119.186831i,249.0234375,0.300155128
613,,-242.888919-153.876743i,253.90625,0.280790299
611,,-278.813284-123.355546i,258.7890625,0.297736975
608,,-255.304792-108.645157i,263.671875,0.270957481
605,,-207.681658-159.174403i,268.5546875,0.25553146
602,,-76.567260-219.765573i,273.4375,0.227267417
600,,480.610703-354.059020i,278.3203125,0.582955005
597,,-534.152031+32.571334i,283.203125,0.52260173
594,,-394.954348-69.271885i,288.0859375,0.391585162
591,,-315.745269+7.980856i,292.96875,0.308443473
588,,-357.574310-12.903605i,297.8515625,0.349420954
585,,-128.328921-162.950448i,302.734375,0.202554131
582,,-187.605946-78.479331i,307.6171875,0.198593046
579,,-158.847749-51.145459i,312.5,0.162967378
577,,-188.683489-49.336640i,317.3828125,0.190456136
573,,-160.974456-100.394316i,322.265625,0.185268588
570,,-210.304639-75.013250i,327.1484375,0.218049216
566,,-201.033450-55.399539i,332.03125,0.203639759
562,,-120.595208-162.635913i,336.9140625,0.197723508
559,,-172.603290-118.076682i,341.796875,0.204225344
556,,-141.281436-103.269157i,346.6796875,0.170898334
553,,-134.416808+143.768170i,351.5625,0.192204681
550,,-130.009448-33.171596i,356.4453125,0.131029839
548,,-96.350562-86.786715i,361.328125,0.126634835
545,,-126.853792-106.973279i,366.2109375,0.162048084
542,,-16.690528-27.603304i,371.09375,0.031501008
538,,-72.676451-71.150304i,375.9765625,0.099322851
535,,-23.316389-99.760927i,380.859375,0.100048323
532,,120.262915-42.974981i,385.7421875,0.124717461
528,,1390.966540-522.751844i,390.625,1.451126334
524,,-465.106714+21.800366i,395.5078125,0.454704438
520,,-236.746975-33.756139i,400.390625,0.233536519
515,,-214.216127-42.716614i,405.2734375,0.213314108
511,,-186.766224-45.741155i,410.15625,0.18777922
505,,-174.006630-66.631620i,415.0390625,0.181960823
500,,-138.940177-43.108709i,419.921875,0.142064617
496,,-126.913410-77.752405i,424.8046875,0.145348625
492,,-112.852736-60.272141i,429.6875,0.124940748
489,,-142.513895-44.182086i,434.5703125,0.145708449
483,,-128.494189-31.453196i,439.453125,0.129187298
479,,-162.468769-13.770919i,444.3359375,0.159229823
476,,-39.873968-99.331703i,449.21875,0.104527413
473,,-79.459392-77.683465i,454.1015625,0.10851941
469,,-95.461684-83.347072i,458.984375,0.123756585
465,,-86.201074-21.248305i,463.8671875,0.086700468
462,,-202.682324-47.127223i,468.75,0.203212073
459,,-110.101121-84.046255i,473.6328125,0.135267231
455,,-115.733483-53.753016i,478.515625,0.124616515
451,,-80.892146-21.627864i,483.3984375,0.081771024
448,,-112.931217-49.190110i,488.28125,0.120292233
444,,-105.035818-38.495717i,493.1640625,0.109246067
441,,-96.912271-53.743653i,498.046875,0.108219555
438,,-250.888744+22.500268i,502.9296875,0.245991856
436,,-65.858904-68.159354i,507.8125,0.092557792
433,,-49.902725-73.634494i,512.6953125,0.086866432
430,,-49.233496-38.758279i,517.578125,0.06119036
428,,-33.872020-77.732544i,522.4609375,0.082804566
425,,-125.168566-37.377837i,527.34375,0.127568642
423,,-65.084277-74.363914i,532.2265625,0.096506685
420,,-70.959671-42.294647i,537.109375,0.080672055
418,,-77.206760-9.838972i,541.9921875,0.07600699
415,,-44.737000-24.404570i,546.875,0.049766206
413,,-74.331688-10.125990i,551.7578125,0.073259995
410,,-91.551366-51.174331i,556.640625,0.102424903
408,,-62.619638-71.833570i,561.5234375,0.09306226
406,,-95.612248-63.552864i,566.40625,0.112116301
404,,-40.979114-42.802838i,571.2890625,0.057867988
402,,-29.732050-44.800988i,576.171875,0.052508952
401,,-52.440944-53.580015i,581.0546875,0.073215299
400,,-104.220101-52.322091i,585.9375,0.113883395
399,,-69.297500-44.835074i,590.8203125,0.080602367
399,,-43.543644-43.447470i,595.703125,0.060070356
398,,-57.392640-19.943926i,600.5859375,0.059335115
398,,-55.033628-34.995274i,605.46875,0.063689318
398,,-25.812651+15.582857i,610.3515625,0.029444912
399,,561.549743+187.349884i,615.234375,0.578103631
400,,15.214795+3.502531i,620.1171875,0.015246818
400,,-37.818782-56.565305i,625,0.066448559
401,,-56.634416-36.112759i,629.8828125,0.0655941
402,,48.000642-38.930909i,634.765625,0.060355018
402,,-73.353862-59.684134i,639.6484375,0.092350934
402,,-57.797643-47.632634i,644.53125,0.073140785
402,,-68.114923-48.311921i,649.4140625,0.081551356
402,,-49.447620-29.513716i,654.296875,0.056236151
403,,-71.940293-51.562251i,659.1796875,0.08643583
404,,-41.259480-45.229784i,664.0625,0.059786669
405,,-81.243489-2.551954i,668.9453125,0.079378476
406,,-29.565490-82.097517i,673.828125,0.085213797
407,,-32.113528-108.811416i,678.7109375,0.110792309
409,,-50.857039-31.326802i,683.59375,0.058331174
411,,-50.396258-47.689135i,688.4765625,0.067757087
412,,-50.516852-64.939550i,693.359375,0.080346216
415,,-43.282830-45.078118i,698.2421875,0.061028829
417,,-60.049785-51.734773i,703.125,0.077404289
420,,-14.625869-3.242737i,708.0078125,0.014629916
422,,-66.866318-44.364302i,712.890625,0.078364475
425,,-34.282579-32.542956i,717.7734375,0.046160935
428,,-29.370216-45.797157i,722.65625,0.053130647
431,,38.484239+83.167874i,727.5390625,0.089492413
434,,-38.778845-21.690825i,732.421875,0.043391593
437,,-16.050180-6.663582i,737.3046875,0.016971173
440,,-29.921718-55.499664i,742.1875,0.061573965
444,,-30.934588-54.960441i,747.0703125,0.061590046
447,,-7.160152-19.105546i,751.953125,0.019924978
450,,-31.251508-23.490523i,756.8359375,0.03817924
454,,-53.216733-44.522660i,761.71875,0.067758857
457,,-25.801264-30.463993i,766.6015625,0.038986255
461,,-7.964953-23.745244i,771.484375,0.024458496
464,,-46.990766-14.939359i,776.3671875,0.048152717
467,,-43.771948-12.394062i,781.25,0.044426577
471,,-21.004137-54.255782i,786.1328125,0.056815997
474,,-6.731392-76.524478i,791.015625,0.075019499
477,,-21.346356-31.939062i,795.8984375,0.03751539
480,,-43.284503-50.099224i,800.78125,0.064656111
482,,-53.855492-33.126352i,805.6640625,0.061746011
485,,-44.385605-40.349858i,810.546875,0.058579043
489,,8.732080-29.404866i,815.4296875,0.029955095
490,,-41.742629-77.390172i,820.3125,0.085869146
495,,-37.307416-22.829660i,825.1953125,0.042713159
499,,-32.106542-22.631547i,830.078125,0.0383606
503,,-42.460311-27.129534i,834.9609375,0.049206441
508,,0.525264-27.939260i,839.84375,0.027289255
512,,-28.393564-46.571569i,844.7265625,0.05326614
517,,-17.535640-37.059982i,849.609375,0.040038359
522,,-15.714717-53.560261i,854.4921875,0.054509807
527,,28.483475-136.376207i,859.375,0.136053691
532,,-12.689493-12.445772i,864.2578125,0.01735757
536,,-27.786422+7.928610i,869.140625,0.028218231
540,,-1.416042-13.069560i,874.0234375,0.012837937
544,,-18.237552-45.609537i,878.90625,0.047969384
548,,-41.926900-38.995459i,883.7890625,0.05591629
551,,-37.404473-11.727873i,888.671875,0.03828122
555,,-56.026467-16.601985i,893.5546875,0.057064942
558,,-8.475646-35.831737i,898.4375,0.035957529
561,,-24.052433-29.884741i,903.3203125,0.037462563
565,,-0.379644-1.345422i,908.203125,0.001365195
569,,1.646230-23.423482i,913.0859375,0.022930918
573,,-0.788161-41.975103i,917.96875,0.040998537
576,,-24.947953-15.139409i,922.8515625,0.028498263
579,,-38.979500-50.383765i,927.734375,0.062208834
583,,-36.409910+6.921138i,932.6171875,0.036193252
585,,26.367189-75.453178i,937.5,0.078054233
589,,1.702567+10.885489i,942.3828125,0.010759601
591,,25.814835-18.728738i,947.265625,0.031145629
594,,-66.824922-25.383661i,952.1484375,0.069808172
596,,-27.777388-35.897389i,957.03125,0.044325674
599,,-32.738642-37.783456i,961.9140625,0.048822346
601,,-34.085137+9.379180i,966.796875,0.034523461
603,,-90.800625-53.303160i,971.6796875,0.102822248
