Source,CH1
Second,Volt
-2.00000000000,-0.08400,
-1.99989998341,-0.07600,
-1.99979996681,-0.08000,
-1.99969995022,-0.06000,
-1.99959993362,-0.06400,
-1.99949991703,-0.08000,
-1.99939990044,-0.09200,
-1.99930000305,-0.08000,
-1.99919998646,-0.07200,
-1.99909996986,-0.01600,
-1.99899995327,-0.02400,
-1.99889993668,-0.06800,
-1.99879992008,-0.04000,
-1.99869990349,-0.06000,
-1.99860000610,-0.03200,
-1.99849998951,0.00,
-1.99839997292,0.02000,
-1.99829995632,0.01200,
-1.99819993973,0.01600,
-1.99809992313,0.03200,
-1.99799990654,0.00,
-1.99789988995,0.03200,
-1.99779999256,0.05600,
-1.99769997597,0.06000,
-1.99759995937,0.06000,
-1.99749994278,0.03200,
-1.99739992619,0.07200,
-1.99729990959,0.05200,
-1.99719989300,0.10800,
-1.99709999561,0.12400,
-1.99699997902,0.12400,
-1.99689996243,0.06800,
-1.99679994583,0.09200,
-1.99669992924,0.08800,
-1.99659991264,0.08800,
-1.99649989605,0.15200,
-1.99639999866,0.18000,
-1.99629998207,0.10800,
-1.99619996548,0.10800,
-1.99609994888,0.08800,
-1.99599993229,0.13200,
-1.99589991570,0.14000,
-1.99579989910,0.17600,
-1.99570000172,0.16000,
-1.99559998512,0.13600,
-1.99549996853,0.12400,
-1.99539995193,0.11200,
-1.99529993534,0.14000,
-1.99519991875,0.16800,
-1.99509990215,0.16000,
-1.99500000477,0.17600,
-1.99489998817,0.16000,
-1.99479997158,0.18000,
-1.99469995499,0.16800,
-1.99459993839,0.18800,
-1.99449992180,0.18800,
-1.99439990520,0.18800,
-1.99430000782,0.18800,
-1.99419999123,0.18000,
-1.99409997463,0.20800,
-1.99399995804,0.21600,
-1.99389994144,0.18400,
-1.99379992485,0.18000,
-1.99369990826,0.18400,
-1.99359989166,0.21600,
-1.99349999428,0.24000,
-1.99339997768,0.25600,
-1.99329996109,0.22000,
-1.99319994450,0.16400,
-1.99309992790,0.15600,
-1.99299991131,0.18400,
-1.99289989471,0.22400,
-1.99279999733,0.26800,
-1.99269998074,0.25200,
-1.99259996414,0.20800,
-1.99249994755,0.16000,
-1.99239993095,0.15200,
-1.99229991436,0.19600,
-1.99219989777,0.23600,
-1.99210000038,0.24800,
-1.99199998379,0.22000,
-1.99189996719,0.17600,
-1.99179995060,0.14400,
-1.99169993401,0.14400,
-1.99159991741,0.19600,
-1.99149990082,0.23200,
-1.99140000343,0.23600,
-1.99129998684,0.19200,
-1.99119997025,0.17600,
-1.99109995365,0.15600,
-1.99099993706,0.13600,
-1.99089992046,0.14800,
-1.99079990387,0.12400,
-1.99070000648,0.13200,
-1.99059998989,0.14800,
-1.99049997330,0.13200,
-1.99039995670,0.14000,
-1.99029994011,0.14400,
-1.99019992352,0.12400,
-1.99009990692,0.10400,
-1.98999989033,0.24400,
-1.98989999294,0.25200,
-1.98979997635,0.21600,
-1.98969995975,0.16400,
-1.98959994316,0.15600,
-1.98949992657,0.16800,
-1.98939990997,0.22400,
-1.98929989338,0.24800,
-1.98919999599,0.22800,
-1.98909997940,0.18800,
-1.98899996281,0.14800,
-1.98889994621,0.13200,
-1.98879992962,0.18000,
-1.98869991302,0.22000,
-1.98859989643,0.21600,
-1.98849999905,0.19600,
-1.98839998245,0.17600,
-1.98829996586,0.15200,
-1.98819994926,0.12000,
-1.98809993267,0.15600,
-1.98799991608,0.15600,
-1.98789989948,0.15600,
-1.98780000210,0.15200,
-1.98769998550,0.13200,
-1.98759996891,0.14000,
-1.98749995232,0.13600,
-1.98739993572,0.12400,
-1.98729991913,0.10400,
-1.98719990253,0.10400,
-1.98710000515,0.11200,
-1.98699998856,0.14000,
-1.98689997196,0.13600,
-1.98679995537,0.07600,
-1.98669993877,0.08000,
-1.98659992218,0.06800,
-1.98649990559,0.09200,
-1.98640000820,0.08000,
-1.98629999161,0.11600,
-1.98619997501,0.12800,
-1.98609995842,0.04800,
-1.98599994183,0.05600,
-1.98589992523,0.04000,
-1.98579990864,0.07600,
-1.98569989204,0.08800,
-1.98559999466,0.08800,
-1.98549997807,0.06000,
-1.98539996147,0.03200,
-1.98529994488,0.03200,
-1.98519992828,0.01200,
-1.98509991169,0.03600,
-1.98499989510,0.02800,
-1.98489999771,0.03600,
-1.98479998112,0.00,
-1.98469996452,-0.02400,
-1.98459994793,-0.00800,
-1.98449993134,-0.00800,
-1.98439991474,-0.03600,
-1.98429989815,-0.04800,
-1.98420000076,-0.06400,
-1.98409998417,-0.04800,
-1.98399996758,-0.07600,
-1.98389995098,-0.08000,
-1.98379993439,-0.06800,
-1.98369991779,-0.06400,
-1.98359990120,-0.09200,
-1.98350000381,-0.10800,
-1.98339998722,-0.09600,
-1.98329997063,-0.13200,
-1.98319995403,-0.14000,
-1.98309993744,-0.14400,
-1.98299992085,-0.10400,
-1.98289990425,-0.10000,
-1.98280000687,-0.10400,
-1.98269999027,-0.14400,
-1.98259997368,-0.16800,
-1.98249995708,-0.12800,
-1.98239994049,-0.12400,
-1.98229992390,-0.10800,
-1.98219990730,-0.08800,
-1.98209989071,-0.15600,
-1.98199999332,-0.16000,
-1.98189997673,-0.13600,
-1.98179996014,-0.13200,
-1.98169994354,-0.14000,
-1.98159992695,-0.14000,
-1.98149991035,-0.14800,
-1.98139989376,-0.16400,
-1.98129999638,-0.16400,
-1.98119997978,-0.18400,
-1.98109996319,-0.16800,
-1.98099994659,-0.16400,
-1.98089993000,-0.18400,
-1.98079991341,-0.16800,
-1.98069989681,-0.18000,
-1.98059999943,-0.18000,
-1.98049998283,-0.19600,
-1.98039996624,-0.20400,
-1.98029994965,-0.22000,
-1.98019993305,-0.22800,
-1.98009991646,-0.16400,
-1.97999989986,-0.15600,
-1.97990000248,-0.15200,
-1.97979998589,-0.19200,
-1.97969996929,-0.23200,
-1.97959995270,-0.24800,
-1.97949993610,-0.22800,
-1.97939991951,-0.16800,
-1.97929990292,-0.15600,
-1.97920000553,-0.15600,
-1.97909998894,-0.19600,
-1.97899997234,-0.24400,
-1.97889995575,-0.24000,
-1.97879993916,-0.20000,
-1.97869992256,-0.16000,
-1.97859990597,-0.12800,
-1.97850000858,-0.15600,
-1.97839999199,-0.20800,
-1.97829997540,-0.21600,
-1.97819995880,-0.21200,
-1.97809994221,-0.18000,
-1.97799992561,-0.14400,
-1.97789990902,-0.12000,
-1.97779989243,-0.14400,
-1.97769999504,-0.16000,
-1.97759997845,-0.16000,
-1.97749996185,-0.16000,
-1.97739994526,-0.14400,
-1.97729992867,-0.14800,
-1.97719991207,-0.11600,
-1.97709989548,-0.11200,
-1.97699999809,-0.11200,
-1.97689998150,-0.11200,
-1.97679996490,-0.10800,
-1.97669994831,-0.11600,
-1.97659993172,-0.11200,
-1.97649991512,-0.10000,
-1.97639989853,-0.09200,
-1.97630000114,-0.05600,
-1.97619998455,-0.06400,
-1.97609996796,-0.08400,
-1.97599995136,-0.08400,
-1.97589993477,-0.10400,
-1.97579991817,-0.06800,
-1.97569990158,-0.09600,
-1.97560000420,-0.04000,
-1.97549998760,-0.06400,
-1.97539997101,-0.08400,
-1.97529995441,-0.08800,
-1.97519993782,-0.08000,
-1.97509992123,-0.07200,
-1.97499990463,-0.01600,
-1.97490000725,-0.01600,
-1.97479999065,-0.01600,
-1.97469997406,-0.04800,
-1.97459995747,-0.04400,
-1.97449994087,-0.03600,
-1.97439992428,0.01600,
-1.97429990768,0.03600,
-1.97419989109,0.01200,
-1.97409999371,0.01600,
-1.97399997711,0.07600,
-1.97389996052,0.03600,
-1.97379994392,0.04400,
-1.97369992733,0.06400,
-1.97359991074,0.06400,
-1.97349989414,0.09600,
-1.97339999676,0.08000,
-1.97329998016,0.06400,
-1.97319996357,0.07200,
-1.97309994698,0.08000,
-1.97299993038,0.14400,
-1.97289991379,0.14400,
-1.97279989719,0.12400,
-1.97269999981,0.09200,
-1.97259998322,0.06400,
-1.97249996662,0.10800,
-1.97239995003,0.16800,
-1.97229993343,0.17600,
-1.97219991684,0.16000,
-1.97209990025,0.13200,
-1.97200000286,0.12400,
-1.97189998627,0.12800,
-1.97179996967,0.13600,
-1.97169995308,0.17600,
-1.97159993649,0.17600,
-1.97149991989,0.15200,
-1.97139990330,0.14000,
-1.97130000591,0.13600,
-1.97119998932,0.12800,
-1.97109997272,0.16800,
-1.97099995613,0.18000,
-1.97089993954,0.17600,
-1.97079992294,0.16000,
-1.97069990635,0.16800,
-1.97060000896,0.18000,
-1.97049999237,0.17600,
-1.97039997578,0.18000,
-1.97029995918,0.18800,
-1.97019994259,0.19600,
-1.97009992599,0.20000,
-1.96999990940,0.19600,
-1.96989989281,0.22400,
-1.96979999542,0.19200,
-1.96969997883,0.16400,
-1.96959996223,0.16800,
-1.96949994564,0.18000,
-1.96939992905,0.21200,
-1.96929991245,0.23600,
-1.96919989586,0.23600,
-1.96909999847,0.19600,
-1.96899998188,0.15200,
-1.96889996529,0.16000,
-1.96879994869,0.19600,
-1.96869993210,0.23200,
-1.96859991550,0.25200,
-1.96849989891,0.22000,
-1.96840000153,0.17600,
-1.96829998493,0.14400,
-1.96819996834,0.15600,
-1.96809995174,0.21200,
-1.96799993515,0.24000,
-1.96789991856,0.22400,
-1.96779990196,0.20400,
-1.96770000458,0.17600,
-1.96759998798,0.14000,
-1.96749997139,0.15200,
-1.96739995480,0.20400,
-1.96729993820,0.19600,
-1.96719992161,0.18000,
-1.96709990501,0.17600,
-1.96700000763,0.19600,
-1.96689999104,0.13600,
-1.96679997444,0.15600,
-1.96669995785,0.14000,
-1.96659994125,0.14400,
-1.96649992466,0.17600,
-1.96639990807,0.14800,
-1.96629989147,0.15200,
-1.96619999409,0.12400,
-1.96609997749,0.10800,
-1.96599996090,0.08800,
-1.96589994431,0.11200,
-1.96579992771,0.10800,
-1.96569991112,0.11600,
-1.96559989452,0.13600,
-1.96549999714,0.10800,
-1.96539998055,0.08000,
-1.96529996395,0.08000,
-1.96519994736,0.08000,
-1.96509993076,0.09200,
-1.96499991417,0.10800,
-1.96489989758,0.10400,
-1.96480000019,0.07600,
-1.96469998360,0.06400,
-1.96459996700,0.06000,
-1.96449995041,0.05200,
-1.96439993382,0.08800,
-1.96429991722,0.06800,
-1.96419990063,0.04400,
-1.96410000324,0.05600,
-1.96399998665,0.00,
-1.96389997005,-0.00400,
-1.96379995346,-0.02000,
-1.96369993687,0.03600,
-1.96359992027,-0.00400,
-1.96349990368,-0.02800,
-1.96340000629,-0.01200,
-1.96329998970,-0.02400,
